date,sheet,items
2019-06-11,2019,E3
2019-06-12,2019,E3
2019-06-13,2019,E3
2019-06-14,2019,试玩怪物猎人世界DLC冰原 | 试玩无主之地3
2019-06-15,2019,
2019-06-16,2019,心灵砒霜161期 | 邮件17
2019-06-17,2019,作业疯了
2019-06-18,2019,封神演义Day19 | 疑案追声DLC/ Unheard DLC
2019-06-19,2019,揍击派对/ PummelParty
2019-06-20,2019,全面战争模拟器 / Totally Accurate Battle Simulator
2019-06-21,2019,东方驾考模拟器/ Chinese Driving License Test
2019-06-22,2019,光遇/Sky | 节奏海拉鲁/Cadence of Hyrule
2019-06-23,2019,心灵砒霜162期 | 邮件17
2019-06-24,2019,节奏海拉鲁/Cadence of Hyrule
2019-06-25,2019,唱歌 | 圣书物语/ Ray Bibbia
2019-06-26,2019,我的朋友佩德罗/ My Friend Pedro
2019-06-27,2019,
2019-06-28,2019,硬核机甲/ HARDCORE MECHA
2019-06-29,2019,非常英雄/ UnrulyHeroes
2019-06-30,2019,唱歌 | 心灵砒霜163期 | 邮件14
2019-07-01,2019,请假
2019-07-02,2019,BOSSGARD
2019-07-03,2019,我的朋友佩德罗/ My Friend Pedro | 风暴追逐者/ Storm Chasers | 节奏乒乓/ Lofi Ping Pong
2019-07-04,2019,唱歌 | 人类:一败涂地 MOD / Human: Fall Flat | 辐射:避难所Online
2019-07-05,2019,荒野潜伏者/ Stay Silent VR | 百战天虫W.M.D
2019-07-06,2019,请假
2019-07-07,2019,封神演义Day20 | 心灵砒霜164期 | 邮件20
2019-07-08,2019,看动画 | 游戏：拣爱 | 小林正雪复仇之密室
2019-07-09,2019,八面体/ Octahedron | 斗歌大会
2019-07-10,2019,中午的天空/ Sky Noon | 人类:一败涂地 MOD / Human: Fall Flat | 权利的游戏-凛冬将至
2019-07-11,2019,
2019-07-12,2019,北境之地/ Northgard
2019-07-13,2019,请假
2019-07-14,2019,心灵砒霜165期 | 邮件28
2019-07-15,2019,请假
2019-07-16,2019,请假
2019-07-17,2019,斗鱼上市
2019-07-18,2019,请假
2019-07-19,2019,请假
2019-07-20,2019,斗歌大会
2019-07-21,2019,斗歌大会
2019-07-22,2019,心灵砒霜166期 | 邮件21
2019-07-23,2019,地痞街区/ Streets of Rogue
2019-07-24,2019,2020东京奥运会/ Olympic Games Tokyo 2020 The Official Video Game
2019-07-25,2019,休息
2019-07-26,2019,2020东京奥运会/ Olympic Games Tokyo 2020 The Official Video Game
2019-07-27,2019,唱歌 | 月圆之夜/ Night of Full Moon | 哆啦A梦：大雄的牧场物语/ Doraemon Nobita no Bokujou Monogatari
2019-07-28,2019,心灵砒霜167期 | 邮件24
2019-07-29,2019,斗歌大会
2019-07-30,2019,哆啦A梦：大雄的牧场物语/ Doraemon Nobita no Bokujou Monogatari
2019-07-31,2019,
2019-08-01,2019,ChinaJoy索尼展前发布会-转播
2019-08-02,2019,ChinaJoy展
2019-08-03,2019,
2019-08-04,2019,心灵砒霜168期 | 邮件23
2019-08-05,2019,哆啦A梦：大雄的牧场物语/ Doraemon Nobita no Bokujou Monogatari
2019-08-06,2019,哆啦A梦：大雄的牧场物语/ Doraemon Nobita no Bokujou Monogatari
2019-08-07,2019,跳跃之王/ Jump King
2019-08-08,2019,游敦煌
2019-08-09,2019,
2019-08-10,2019,观看回收火箭发射
2019-08-11,2019,
2019-08-12,2019,挑战麦迪篮球活动
2019-08-13,2019,哆啦A梦：大雄的牧场物语/ Doraemon Nobita no Bokujou Monogatari | 斗歌大会
2019-08-14,2019,跳跃之王/ Jump King
2019-08-15,2019,疑案追声中元节特别篇/ Unheard DLC 2 | 哆啦A梦：大雄的牧场物语/ Doraemon Nobita no Bokujou Monogatari
2019-08-16,2019,唱歌 | 跳跃之王/ Jump King
2019-08-17,2019,DARQ | 哆啦A梦：大雄的牧场物语/ Doraemon Nobita no Bokujou Monogatari
2019-08-18,2019,心灵砒霜169期 | 邮件31
2019-08-19,2019,哆啦A梦：大雄的牧场物语/ Doraemon Nobita no Bokujou Monogatari
2019-08-20,2019,哆啦A梦：大雄的牧场物语/ Doraemon Nobita no Bokujou Monogatari
2019-08-21,2019,遗迹:灰烬重生/ Remnant: From the Ashes
2019-08-22,2019,休息
2019-08-23,2019,遗迹:灰烬重生/ Remnant: From the Ashes
2019-08-24,2019,遗迹:灰烬重生/ Remnant: From the Ashes
2019-08-25,2019,心灵砒霜170期 | 邮件17
2019-08-26,2019,控制/ Control
2019-08-27,2019,控制/ Control
2019-08-28,2019,遗迹:灰烬重生/ Remnant: From the Ashes
2019-08-29,2019,Heave Ho | 境界灵压对决
2019-08-30,2019,休假
